make,model,variant,fuel,transmission,engine_cc,year_from,year_to,spec.General.Body type,spec.General.Seating capacity
Maruti Suzuki,Swift,LXi,Petrol,Manual,1197,2011,2017,Hatchback,5
Maruti Suzuki,Swift,VXi,Petrol,Manual,1197,2011,2017,Hatchback,5
Maruti Suzuki,Swift,ZXi,Petrol,Manual,1197,2011,2017,Hatchback,5
Maruti Suzuki,Swift,LDi,Diesel,Manual,1248,2011,2017,Hatchback,5
Maruti Suzuki,Swift,VDi,Diesel,Manual,1248,2011,2017,Hatchback,5
Maruti Suzuki,Swift,ZDi,Diesel,Manual,1248,2011,2017,Hatchback,5
Maruti Suzuki,Swift,LXi,Petrol,Manual,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,VXi,Petrol,Manual,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,ZXi,Petrol,Manual,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,ZXi+,Petrol,Manual,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,VXi AMT,Petrol,Automatic,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,ZXi AMT,Petrol,Automatic,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,ZXi+ AMT,Petrol,Automatic,1197,2018,2023,Hatchback,5
Maruti Suzuki,Swift,LDi,Diesel,Manual,1248,2018,2020,Hatchback,5
Maruti Suzuki,Swift,VDi,Diesel,Manual,1248,2018,2020,Hatchback,5
Maruti Suzuki,Swift,ZDi,Diesel,Manual,1248,2018,2020,Hatchback,5
Maruti Suzuki,Swift,ZDi+,Diesel,Manual,1248,2018,2020,Hatchback,5
Maruti Suzuki,Baleno,Sigma,Petrol,Manual,1197,2015,2022,Hatchback,5
Maruti Suzuki,Baleno,Delta,Petrol,Manual,1197,2015,2022,Hatchback,5
Maruti Suzuki,Baleno,Zeta,Petrol,Manual,1197,2015,2022,Hatchback,5
Maruti Suzuki,Baleno,Alpha,Petrol,Manual,1197,2015,2022,Hatchback,5
Maruti Suzuki,Baleno,Delta CVT,Petrol,Automatic,1197,2016,2022,Hatchback,5
Maruti Suzuki,Baleno,Zeta CVT,Petrol,Automatic,1197,2016,2022,Hatchback,5
Maruti Suzuki,Baleno,Alpha CVT,Petrol,Automatic,1197,2016,2022,Hatchback,5
Maruti Suzuki,Baleno,Sigma,Diesel,Manual,1248,2015,2019,Hatchback,5
Maruti Suzuki,Baleno,Delta,Diesel,Manual,1248,2015,2019,Hatchback,5
Maruti Suzuki,Baleno,Zeta,Diesel,Manual,1248,2015,2019,Hatchback,5
Maruti Suzuki,Baleno,Alpha,Diesel,Manual,1248,2015,2019,Hatchback,5
Maruti Suzuki,Dzire,LXi,Petrol,Manual,1197,2012,2016,Sedan,5
Maruti Suzuki,Dzire,VXi,Petrol,Manual,1197,2012,2016,Sedan,5
Maruti Suzuki,Dzire,ZXi,Petrol,Manual,1197,2012,2016,Sedan,5
Maruti Suzuki,Dzire,LDi,Diesel,Manual,1248,2012,2016,Sedan,5
Maruti Suzuki,Dzire,VDi,Diesel,Manual,1248,2012,2016,Sedan,5
Maruti Suzuki,Dzire,ZDi,Diesel,Manual,1248,2012,2016,Sedan,5
Maruti Suzuki,Dzire,LXi,Petrol,Manual,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,VXi,Petrol,Manual,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,ZXi,Petrol,Manual,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,ZXi+,Petrol,Manual,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,VXi AMT,Petrol,Automatic,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,ZXi AMT,Petrol,Automatic,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,ZXi+ AMT,Petrol,Automatic,1197,2017,2023,Sedan,5
Maruti Suzuki,Dzire,LDi,Diesel,Manual,1248,2017,2020,Sedan,5
Maruti Suzuki,Dzire,VDi,Diesel,Manual,1248,2017,2020,Sedan,5
Maruti Suzuki,Dzire,ZDi,Diesel,Manual,1248,2017,2020,Sedan,5
Maruti Suzuki,Dzire,ZDi+,Diesel,Manual,1248,2017,2020,Sedan,5
Maruti Suzuki,Wagon R,LXi,Petrol,Manual,998,2010,2018,Hatchback,5
Maruti Suzuki,Wagon R,VXi,Petrol,Manual,998,2010,2018,Hatchback,5
Maruti Suzuki,Wagon R,1.0 LXi,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,1.0 VXi,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,1.0 ZXi,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,1.2 VXi,Petrol,Manual,1197,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,1.2 ZXi,Petrol,Manual,1197,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,1.2 ZXi+,Petrol,Manual,1197,2019,2024,Hatchback,5
Maruti Suzuki,Wagon R,LXi CNG,CNG,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,Alto,Std,Petrol,Manual,796,2012,2023,Hatchback,5
Maruti Suzuki,Alto,LXi,Petrol,Manual,796,2012,2023,Hatchback,5
Maruti Suzuki,Alto,VXi,Petrol,Manual,796,2012,2023,Hatchback,5
Maruti Suzuki,Alto,VXi+,Petrol,Manual,796,2012,2023,Hatchback,5
Maruti Suzuki,Alto,K10 LXi,Petrol,Manual,998,2010,2019,Hatchback,5
Maruti Suzuki,Alto,K10 VXi,Petrol,Manual,998,2010,2019,Hatchback,5
Maruti Suzuki,Alto,K10 Std,Petrol,Manual,998,2022,2024,Hatchback,5
Maruti Suzuki,Alto,K10 LXi,Petrol,Manual,998,2022,2024,Hatchback,5
Maruti Suzuki,Alto,K10 VXi,Petrol,Manual,998,2022,2024,Hatchback,5
Maruti Suzuki,Alto,K10 VXi+,Petrol,Manual,998,2022,2024,Hatchback,5
Maruti Suzuki,Celerio,LXi,Petrol,Manual,998,2014,2021,Hatchback,5
Maruti Suzuki,Celerio,VXi,Petrol,Manual,998,2014,2021,Hatchback,5
Maruti Suzuki,Celerio,ZXi,Petrol,Manual,998,2014,2021,Hatchback,5
Maruti Suzuki,Celerio,VXi AMT,Petrol,Automatic,998,2014,2021,Hatchback,5
Maruti Suzuki,Celerio,ZXi AMT,Petrol,Automatic,998,2014,2021,Hatchback,5
Maruti Suzuki,Celerio,LXi,Petrol,Manual,998,2021,2024,Hatchback,5
Maruti Suzuki,Celerio,VXi,Petrol,Manual,998,2021,2024,Hatchback,5
Maruti Suzuki,Celerio,ZXi,Petrol,Manual,998,2021,2024,Hatchback,5
Maruti Suzuki,Celerio,ZXi+,Petrol,Manual,998,2021,2024,Hatchback,5
Maruti Suzuki,Ertiga,LXi,Petrol,Manual,1373,2012,2018,MPV,7
Maruti Suzuki,Ertiga,VXi,Petrol,Manual,1373,2012,2018,MPV,7
Maruti Suzuki,Ertiga,ZXi,Petrol,Manual,1373,2012,2018,MPV,7
Maruti Suzuki,Ertiga,LDi,Diesel,Manual,1248,2012,2018,MPV,7
Maruti Suzuki,Ertiga,VDi,Diesel,Manual,1248,2012,2018,MPV,7
Maruti Suzuki,Ertiga,ZDi,Diesel,Manual,1248,2012,2018,MPV,7
Maruti Suzuki,Ertiga,LXi,Petrol,Manual,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,VXi,Petrol,Manual,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,ZXi,Petrol,Manual,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,ZXi+,Petrol,Manual,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,VXi AT,Petrol,Automatic,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,ZXi AT,Petrol,Automatic,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,ZXi+ AT,Petrol,Automatic,1462,2018,2024,MPV,7
Maruti Suzuki,Ertiga,LDi,Diesel,Manual,1248,2018,2020,MPV,7
Maruti Suzuki,Ertiga,VDi,Diesel,Manual,1248,2018,2020,MPV,7
Maruti Suzuki,Ertiga,ZDi,Diesel,Manual,1248,2018,2020,MPV,7
Maruti Suzuki,Ertiga,ZDi+,Diesel,Manual,1248,2018,2020,MPV,7
Maruti Suzuki,Vitara Brezza,LDi,Diesel,Manual,1248,2016,2022,SUV,5
Maruti Suzuki,Vitara Brezza,VDi,Diesel,Manual,1248,2016,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZDi,Diesel,Manual,1248,2016,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZDi+,Diesel,Manual,1248,2016,2022,SUV,5
Maruti Suzuki,Vitara Brezza,LXi,Petrol,Manual,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,VXi,Petrol,Manual,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZXi,Petrol,Manual,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZXi+,Petrol,Manual,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,VXi AT,Petrol,Automatic,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZXi AT,Petrol,Automatic,1462,2020,2022,SUV,5
Maruti Suzuki,Vitara Brezza,ZXi+ AT,Petrol,Automatic,1462,2020,2022,SUV,5
Maruti Suzuki,Ciaz,Sigma,Petrol,Manual,1373,2014,2017,Sedan,5
Maruti Suzuki,Ciaz,Delta,Petrol,Manual,1373,2014,2017,Sedan,5
Maruti Suzuki,Ciaz,Zeta,Petrol,Manual,1373,2014,2017,Sedan,5
Maruti Suzuki,Ciaz,Alpha,Petrol,Manual,1373,2014,2017,Sedan,5
Maruti Suzuki,Ciaz,Sigma,Petrol,Manual,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Delta,Petrol,Manual,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Zeta,Petrol,Manual,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Alpha,Petrol,Manual,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Delta AT,Petrol,Automatic,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Zeta AT,Petrol,Automatic,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Alpha AT,Petrol,Automatic,1462,2018,2023,Sedan,5
Maruti Suzuki,Ciaz,Sigma,Diesel,Manual,1248,2014,2020,Sedan,5
Maruti Suzuki,Ciaz,Delta,Diesel,Manual,1248,2014,2020,Sedan,5
Maruti Suzuki,Ciaz,Zeta,Diesel,Manual,1248,2014,2020,Sedan,5
Maruti Suzuki,Ciaz,Alpha,Diesel,Manual,1248,2014,2020,Sedan,5
Maruti Suzuki,S-Presso,Std,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,S-Presso,LXi,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,S-Presso,VXi,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,S-Presso,VXi+,Petrol,Manual,998,2019,2024,Hatchback,5
Maruti Suzuki,S-Presso,VXi AMT,Petrol,Automatic,998,2019,2024,Hatchback,5
Maruti Suzuki,S-Presso,VXi+ AMT,Petrol,Automatic,998,2019,2024,Hatchback,5
Maruti Suzuki,Ignis,Sigma,Petrol,Manual,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Delta,Petrol,Manual,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Zeta,Petrol,Manual,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Alpha,Petrol,Manual,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Delta AMT,Petrol,Automatic,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Zeta AMT,Petrol,Automatic,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Alpha AMT,Petrol,Automatic,1197,2017,2024,Hatchback,5
Maruti Suzuki,Ignis,Delta,Diesel,Manual,1248,2017,2019,Hatchback,5
Maruti Suzuki,Ignis,Zeta,Diesel,Manual,1248,2017,2019,Hatchback,5
Maruti Suzuki,Ignis,Alpha,Diesel,Manual,1248,2017,2019,Hatchback,5
Maruti Suzuki,Eeco,5 Seater Std,Petrol,Manual,1196,2010,2024,MPV,5
Maruti Suzuki,Eeco,5 Seater AC,Petrol,Manual,1196,2010,2024,MPV,5
Maruti Suzuki,Eeco,7 Seater Std,Petrol,Manual,1196,2010,2024,MPV,5
Hyundai,i20,Era,Petrol,Manual,1197,2014,2020,Hatchback,5
Hyundai,i20,Magna,Petrol,Manual,1197,2014,2020,Hatchback,5
Hyundai,i20,Sportz,Petrol,Manual,1197,2014,2020,Hatchback,5
Hyundai,i20,Asta,Petrol,Manual,1197,2014,2020,Hatchback,5
Hyundai,i20,Era,Diesel,Manual,1396,2014,2020,Hatchback,5
Hyundai,i20,Magna,Diesel,Manual,1396,2014,2020,Hatchback,5
Hyundai,i20,Sportz,Diesel,Manual,1396,2014,2020,Hatchback,5
Hyundai,i20,Asta,Diesel,Manual,1396,2014,2020,Hatchback,5
Hyundai,i20,Magna,Petrol,Manual,1197,2020,2024,Hatchback,5
Hyundai,i20,Sportz,Petrol,Manual,1197,2020,2024,Hatchback,5
Hyundai,i20,Asta,Petrol,Manual,1197,2020,2024,Hatchback,5
Hyundai,i20,Asta(O),Petrol,Manual,1197,2020,2024,Hatchback,5
Hyundai,i20,Sportz IVT,Petrol,Automatic,1197,2020,2024,Hatchback,5
Hyundai,i20,Asta IVT,Petrol,Automatic,1197,2020,2024,Hatchback,5
Hyundai,i20,Magna,Diesel,Manual,1493,2020,2023,Hatchback,5
Hyundai,i20,Sportz,Diesel,Manual,1493,2020,2023,Hatchback,5
Hyundai,i20,Asta,Diesel,Manual,1493,2020,2023,Hatchback,5
Hyundai,Grand i10,Era,Petrol,Manual,1197,2013,2019,Hatchback,5
Hyundai,Grand i10,Magna,Petrol,Manual,1197,2013,2019,Hatchback,5
Hyundai,Grand i10,Sportz,Petrol,Manual,1197,2013,2019,Hatchback,5
Hyundai,Grand i10,Asta,Petrol,Manual,1197,2013,2019,Hatchback,5
Hyundai,Grand i10,Sportz AT,Petrol,Automatic,1197,2014,2019,Hatchback,5
Hyundai,Grand i10,Asta AT,Petrol,Automatic,1197,2014,2019,Hatchback,5
